document,name,type,count
GDSC001790044200.txt,October,organization,1
GDSC001790044200.txt,Joseph Harris,person,1
GDSC001790044200.txt,Joseph Harris,person,1
GDSC001790044200.txt,Joseph Harris,person,1
GDSC001790044200.txt,Du Boff Bryn Naur College,organization,1
GDSC001790044200.txt,Democratic Party Post Office,organization,1
GDSC001790044200.txt,Janssen Piece Kansas City,organization,1
GDSC001790044200.txt,Wig Joseph Harris Office,organization,1
GDSC001790044200.txt,Joseph Barrie Office,organization,2
GDSC001790044200.txt,Joseph Harris Office,organization,10
GDSC001790044200.txt,JVJs Joseph Harris Office,organization,2
GDSC001790044200.txt,Everett W. MaeMair Tailadeg College Talladega,organization,1
GDSC001790044200.txt,Wie Joseph Harris Office,organization,1
GDSC001790044200.txt,Mississippi,location,18
GDSC001790044200.txt,Sunflower,location,1
GDSC001790044200.txt,Ashburton Lane Betheada,location,1
GDSC001790044200.txt,Missouri,location,2
GDSC001790044200.txt,Greenwood Avenue Palo Alto,location,1
GDSC001790044200.txt,Osage Avenue Philadelphia,location,1
GDSC001790044200.txt,Wortman Avenue Brooklyn,location,1
GDSC001790044200.txt,Maryland,location,1
GDSC001790044200.txt,Kennedy Street,location,1
GDSC001790044200.txt,Woolaey St. Berkeley,location,1
GDSC001790044200.txt,Sandower,location,1
GDSC001790044200.txt,New York City,location,4
GDSC001790044200.txt,Connecticut,location,1
GDSC001790044200.txt,Etdge Road North Haven,location,1
GDSC001790044200.txt,Brooklyn,location,1
GDSC001790044200.txt,California,location,6
GDSC001790044200.txt,Orandel Square St. Louie,location,1
GDSC001790044200.txt,Lering Street Sen Diego,location,1
GDSC001790044200.txt,North Dakota,location,2
GDSC001790044200.txt,Pennsylvania,location,4
GDSC001790044200.txt,Wick Avenue Toungstown,location,1
GDSC001790044200.txt,Pulliam,location,1
GDSC001790044200.txt,Sunflowerf Mississippi,location,1
GDSC001790044200.txt,S. Park Avenue Lake Forest,location,1
GDSC001790044200.txt,Ohio,location,1
GDSC001790044200.txt,Alabama,location,1
GDSC001790044200.txt,Wisconsin Street Sen Vfcanoiaeot Calif.,location,1
GDSC001790044200.txt,St. Louis,location,1
GDSC001790044200.txt,Washington,location,1
GDSC001790044200.txt,Alameda Do Las Pulgas Menlo Park,location,1
GDSC001790044200.txt,St. Downey,location,1
GDSC001790044200.txt,St. Bethesda,location,1
GDSC001790044200.txt,Darlington Avenue I Lon Angeles,location,1
GDSC001790044200.txt,C. Zaugg,person,1
GDSC001790044200.txt,Fisch,person,1
GDSC001790044200.txt,Sandy Spring,person,1
GDSC001790044200.txt,Marie Kaplan,person,1
GDSC001790044200.txt,Goldner,person,1
GDSC001790044200.txt,Montgomery,person,1
GDSC001790044200.txt,Thompson,person,1
GDSC001790044200.txt,Dear Msz,person,1
GDSC001790044200.txt,Albert K.,person,1
GDSC001790044200.txt,Weber,person,1
GDSC001790044200.txt,Kaplan,person,1
GDSC001790044200.txt,K.V. Washington,person,1
GDSC001790044200.txt,Samuel Perlman,person,1
GDSC001790044200.txt,Tobias Wolman,person,1
GDSC001790044200.txt,Ana N. Brenneman,person,1
GDSC001790044200.txt,Thia,person,2
GDSC001790044200.txt,Roscoe A. Thompson,person,1
GDSC001790044200.txt,Westheimer,person,1
GDSC001790044200.txt,Joseph Harris,person,7
GDSC001790044200.txt,Halter,person,1
GDSC001790044200.txt,E. Bcyson,person,1
GDSC001790044200.txt,Joseph Harris Offloe,person,1
GDSC001790044200.txt,Myrtle Moore,person,1
GDSC001790044200.txt,Watson,person,1
GDSC001790044200.txt,Joseph Barrie,person,1
GDSC001790044200.txt,Husband,person,1
GDSC001790044200.txt,Perloe,person,1
GDSC001790044200.txt,Du Boff,person,1
GDSC001790044200.txt,Joseph Karris,person,1
GDSC001790044200.txt,Zaugg,person,1
GDSC001790044200.txt,Thonae I. Eneraon,person,1
GDSC001790044200.txt,Judy Perloe,person,1
GDSC001790044200.txt,Wortman,person,1
GDSC001790044200.txt,Abe Harshman,person,1
GDSC001790044200.txt,Jonathan F. Husband,person,1
GDSC001790044200.txt,Janet Toy,person,1
GDSC001790044200.txt,Jean Fisch,person,1
GDSC001790044200.txt,N. I.,person,1
GDSC001790044200.txt,Barbara R. Allen,person,1
GDSC001790044200.txt,Bov,person,1
GDSC001790044200.txt,Joseph Harrie,person,1
GDSC001790044200.txt,Bonk,person,1
GDSC001790044200.txt,Lashof,person,1
GDSC001790044200.txt,Robert Halter,person,1
GDSC001790044200.txt,Pulliam,person,1
GDSC001790044200.txt,Harshman,person,1
GDSC001790044200.txt,Lester Goldner,person,1
GDSC001790044200.txt,William C. Searcy,person,1
GDSC001790044200.txt,Searcy,person,1
GDSC001790044200.txt,David Brenner,person,1
GDSC001790044200.txt,George N. Weber,person,1
GDSC001790044200.txt,Hnerson,person,1
GDSC001790044200.txt,Richard B.,person,1
GDSC001790044200.txt,P. O. Rex,person,1
GDSC001790044200.txt,Arthur N. Watson,person,1
GDSC001790044200.txt,Moore,person,1
GDSC001790044200.txt,Perlman,person,1
GDSC001790044200.txt,Brenner,person,1
GDSC001790044200.txt,David Westheimer,person,1
GDSC001790044200.txt,Derr,person,1
GDSC001790044200.txt,Theodore Wm. Lashof,person,1
GDSC001790044200.txt,Brenneman,person,1
GDSC001790044200.txt,Bodenhorn,person,1
GDSC001790044200.txt,Ethel Sanjines,person,1
GDSC001790044200.txt,Benjamin Bock,person,1
GDSC001790044200.txt,Wolman,person,1
GDSC001790044200.txt,Allen,person,1
GDSC001790044200.txt,Boger Montgoeery,person,1
GDSC001790044200.txt,Sanjines,person,1
GDSC001790062100.txt,Leadership for Action in Rural Committee,organization,1
GDSC001790062100.txt,Catholic,organization,1
GDSC001790062100.txt,VIII Housing,organization,1
GDSC001790062100.txt,County Court House,organization,1
GDSC001790062100.txt,Value Per Unit,organization,1
GDSC001790062100.txt,City Auditorium,organization,1
GDSC001790062100.txt,Local Programs,organization,2
GDSC001790062100.txt,Miss Mary Ann Veal The Community Service,organization,1
GDSC001790062100.txt,Abingdon Press,organization,2
GDSC001790062100.txt,New Directions Charts Course For National,organization,1
GDSC001790062100.txt,Neighborhood Service,organization,1
GDSC001790062100.txt,Progressive Community Improvement Club,organization,1
GDSC001790062100.txt,Jackson Central Business District,organization,1
GDSC001790062100.txt,Community Organization,organization,2
GDSC001790062100.txt,City Hall,organization,1
GDSC001790062100.txt,s Division of Christian Service,organization,1
GDSC001790062100.txt,WHITE BUSINESSES Grocery Stores,organization,1
GDSC001790062100.txt,Craft Clubs,organization,1
GDSC001790062100.txt,Washers,organization,1
GDSC001790062100.txt,Units Housing Units Rooms Per,organization,1
GDSC001790062100.txt,Woman,organization,1
