doc,entity,type,count
GDSC001790044200.txt,Joseph Harris Office,organization,16
GDSC001790044200.txt,Mississippi,location,18
GDSC001790044200.txt,California,location,6
GDSC001790044200.txt,Joseph Harris,person,7
GDSC001790062100.txt,New York City,location,9
GDSC001790062100.txt,Bethlehem Center,location,8
GDSC001790019400.txt,United States of America,location,9
GDSC001790019400.txt,South Carolina,location,8
GDSC001790039100.txt,Kentucky Fried Chicken,organization,11
GDSC001790039100.txt,MCHR,organization,6
GDSC001790039100.txt,Mississippi,location,32
GDSC001790039100.txt,Jackson,person,14
GDSC001790039100.txt,Michael Raff,person,8
GDSC001790039100.txt,Fannie Lou Hamer,person,25
GDSC001790039100.txt,Michael,person,6
GDSC001790039100.txt,Kay Mills,person,20
GDSC001790023200.txt,Mississippians United to Elect Negro Candidates,organization,6
GDSC001790023200.txt,Mississippians United,organization,6
GDSC001790023200.txt,Greenville,location,13
GDSC001790023200.txt,Mississippi,location,18
GDSC001790023200.txt,Nelson Street,location,6
GDSC001790023200.txt,Joseph Harris,person,10
GDSC001790059700.txt,CAA,organization,110
GDSC001790059700.txt,Regional Office,organization,8
GDSC001790059700.txt,OEO Regional Office,organization,6
GDSC001790059700.txt,Incorporated,organization,26
GDSC001790059700.txt,Sunflower County Progress,organization,12
GDSC001790059700.txt,Board of Directors of Sunflower County Progress,organization,6
GDSC001790059700.txt,OEO,organization,45
GDSC001790059700.txt,Mississippi,location,50
GDSC001790059700.txt,Sunflower County,location,18
GDSC001790059700.txt,Misourri,location,12
GDSC001790059700.txt,Indianola,location,30
GDSC001790059700.txt,Walter Gregory,person,8
GDSC001790059700.txt,Walter Robe,person,7
GDSC001790059700.txt,Julian Allen,person,9
GDSC001790059700.txt,Roscoe Hooper,person,11
GDSC001790059700.txt,R. J. Allen,person,6
GDSC001790059700.txt,Colbert Crowe,person,10
GDSC001790012500.txt,J.P.,organization,11
GDSC001790012500.txt,State,organization,6
GDSC001790012500.txt,Mississippi,location,8
GDSC001790039200.txt,Delta Ministry,organization,7
GDSC001790039200.txt,Incorporated,organization,6
GDSC001790039200.txt,Pentagon,organization,7
GDSC001790039200.txt,Congress,organization,6
GDSC001790039200.txt,SRM,organization,18
GDSC001790039200.txt,Mississippi,location,14
GDSC001790039200.txt,New York City,location,16
GDSC001790039200.txt,Soviet Union,location,8
GDSC001790039200.txt,United States of America,location,31
GDSC001790039200.txt,Washington,location,7
GDSC001790039200.txt,Fannie Lou Hamer,person,8
GDSC001790034700.txt,Voter Education Project,organization,19
GDSC001790034700.txt,VEP,organization,16
GDSC001790034700.txt,United States of America,location,10
GDSC001790034700.txt,South Carolina,location,6
GDSC001790034700.txt,Georgia,location,11
GDSC001790034700.txt,South,location,25
GDSC001790034700.txt,VEP,person,15
GDSC001790043500.txt,Democratic Party P.,organization,9
GDSC001790043500.txt,Joseph Harris Office,organization,6
GDSC001790043500.txt,Mississippi,location,40
GDSC001790043500.txt,Joseph Harris,person,7
GDSC001790047500.txt,Negro,organization,7
GDSC001790047500.txt,Mississippi Freedom Democratic Party,organization,9
GDSC001790047500.txt,Congress,organization,11
GDSC001790047500.txt,Delta,organization,9
GDSC001790047500.txt,Justice Department,organization,6
GDSC001790047500.txt,Mississippi,location,87
GDSC001790047500.txt,Atlanta,location,6
GDSC001790047500.txt,Washington,location,7
GDSC001790047500.txt,New York City,location,18
GDSC001790047500.txt,United States of America,location,15
GDSC001790047500.txt,Sunflower County,location,30
GDSC001790047500.txt,Sunflower City,location,8
GDSC001790047500.txt,South,location,6
GDSC001790047500.txt,Moorhead,location,6
GDSC001790047500.txt,Brown,person,15
GDSC001790047500.txt,Jackson,person,11
GDSC001790047500.txt,Fannie Lou Hamer,person,76
