Source,Target,Type,Id
GDSC001790044200.txt,Mississippi,location,18
GDSC001790044200.txt,Sunflower,location,1
GDSC001790044200.txt,Ashburton Lane Betheada,location,1
GDSC001790044200.txt,Missouri,location,2
GDSC001790044200.txt,Greenwood Avenue Palo Alto,location,1
GDSC001790044200.txt,Osage Avenue Philadelphia,location,1
GDSC001790044200.txt,Wortman Avenue Brooklyn,location,1
GDSC001790044200.txt,Maryland,location,1
GDSC001790044200.txt,Kennedy Street,location,1
GDSC001790044200.txt,Woolaey St. Berkeley,location,1
GDSC001790044200.txt,Sandower,location,1
GDSC001790044200.txt,New York City,location,4
GDSC001790044200.txt,Connecticut,location,1
GDSC001790044200.txt,Etdge Road North Haven,location,1
GDSC001790044200.txt,Brooklyn,location,1
GDSC001790044200.txt,California,location,6
GDSC001790044200.txt,Orandel Square St. Louie,location,1
GDSC001790044200.txt,Lering Street Sen Diego,location,1
GDSC001790044200.txt,North Dakota,location,2
GDSC001790044200.txt,Pennsylvania,location,4
GDSC001790044200.txt,Wick Avenue Toungstown,location,1
GDSC001790044200.txt,Pulliam,location,1
GDSC001790044200.txt,Sunflowerf Mississippi,location,1
GDSC001790044200.txt,S. Park Avenue Lake Forest,location,1
GDSC001790044200.txt,Ohio,location,1
GDSC001790044200.txt,Alabama,location,1
GDSC001790044200.txt,Wisconsin Street Sen Vfcanoiaeot Calif.,location,1
GDSC001790044200.txt,St. Louis,location,1
GDSC001790044200.txt,Washington,location,1
GDSC001790044200.txt,Alameda Do Las Pulgas Menlo Park,location,1
GDSC001790044200.txt,St. Downey,location,1
GDSC001790044200.txt,St. Bethesda,location,1
GDSC001790044200.txt,Darlington Avenue I Lon Angeles,location,1
GDSC001790062100.txt,Mississippi,location,2
GDSC001790062100.txt,Winchester,location,1
GDSC001790062100.txt,Arlington,location,1
GDSC001790062100.txt,City Hall,location,1
GDSC001790062100.txt,Dalton St.,location,1
GDSC001790062100.txt,Central Business District,location,2
GDSC001790062100.txt,Illinois,location,1
GDSC001790062100.txt,Governor Mansion,location,1
GDSC001790062100.txt,Rondo St.,location,1
GDSC001790062100.txt,Danville,location,1
GDSC001790062100.txt,Sheila Drive,location,1
GDSC001790062100.txt,Colebrook Ave.,location,1
GDSC001790062100.txt,Blair St.,location,1
GDSC001790062100.txt,Blair Street,location,1
GDSC001790062100.txt,State Capitol,location,1
GDSC001790062100.txt,White Americano,location,1
GDSC001790062100.txt,Seneca Ave.,location,1
GDSC001790062100.txt,New York City,location,9
GDSC001790062100.txt,Lyncrest Ave.,location,1
GDSC001790062100.txt,United States of America,location,4
GDSC001790062100.txt,W. Pearl St.,location,1
GDSC001790062100.txt,Capitol Street,location,1
GDSC001790062100.txt,Theaodir Gray 2414 Eleanor Ave.,location,1
GDSC001790062100.txt,Sidway,location,1
GDSC001790062100.txt,Roosevelt Street,location,1
GDSC001790062100.txt,William Johnson Community Center,location,1
GDSC001790062100.txt,Bethlehem Center,location,8
GDSC001790062100.txt,Jackson City,location,1
GDSC001790062100.txt,Dalton Street,location,1
GDSC001790062100.txt,Farish Street,location,1
GDSC001790062100.txt,Mississippi St.,location,1
GDSC001790062100.txt,South,location,2
GDSC001790062100.txt,Washington D.C.,location,1
GDSC001790062100.txt,Hampton,location,1
GDSC001790062100.txt,Watson St.,location,1
GDSC001790062100.txt,Misourri,location,1
GDSC001790062100.txt,Farish Street Area,location,1
GDSC001790062100.txt,Washington,location,2
GDSC001790062100.txt,Street,location,1
GDSC001790062100.txt,Bethlehem,location,1
GDSC001790062100.txt,Kenya,location,1
GDSC001790062100.txt,Idaho St.,location,1
GDSC001790062100.txt,Lamar Street,location,1
GDSC001790062100.txt,Crane Blvd.,location,1
GDSC001790062100.txt,Interstate Highway,location,1
GDSC001790019400.txt,Canada,location,1
GDSC001790019400.txt,Europe,location,1
GDSC001790019400.txt,Mississippi,location,1
GDSC001790019400.txt,Columbia,location,1
GDSC001790019400.txt,Houston,location,1
GDSC001790019400.txt,Washington,location,1
GDSC001790019400.txt,Assistant United States,location,1
GDSC001790019400.txt,United States of America,location,9
GDSC001790019400.txt,Greenville,location,3
GDSC001790019400.txt,Asia,location,1
GDSC001790019400.txt,Easley,location,1
GDSC001790019400.txt,South America,location,1
GDSC001790019400.txt,District of Columbia,location,1
GDSC001790019400.txt,South Carolina,location,8
GDSC001790019400.txt,North,location,1
GDSC001790019400.txt,Atlanta,location,1
GDSC001790019400.txt,Oakland,location,1
GDSC001790019400.txt,Michigan,location,1
GDSC001790019400.txt,Soviet Union,location,1
GDSC001790039100.txt,Mississippi,location,32
GDSC001790039100.txt,Hinds County,location,1
GDSC001790039100.txt,MADISON WISCONSIN,location,1
GDSC001790039100.txt,United States of America,location,1
GDSC001790039100.txt,New World,location,1
GDSC001790039100.txt,Mound Bayou,location,1
GDSC001790039100.txt,Louisville,location,1
GDSC001790039100.txt,Vicksburg,location,1
GDSC001790039100.txt,Jackson,location,3
GDSC001790039100.txt,Tougaloo,location,2
GDSC001790039100.txt,Wisconsin,location,1
GDSC001790039100.txt,New York City,location,1
GDSC001790039100.txt,Herbert Hospital,location,1
GDSC001790039100.txt,Nashville,location,2
GDSC001790039100.txt,James St. Ruleville,location,1
GDSC001790039100.txt,S.E. Washington,location,1
GDSC001790039100.txt,Connecticut,location,1
GDSC001790039100.txt,Oxford,location,2
GDSC001790039100.txt,Memphis,location,1
GDSC001790039100.txt,North State Street,location,1
GDSC001790039100.txt,W. Capitol Street Jackson,location,1
GDSC001790039100.txt,Kentucky,location,2
GDSC001790039100.txt,Mound,location,1
GDSC001790039100.txt,W. Capitol St. Jackson,location,1
GDSC001790039100.txt,Madison,location,4
GDSC001790039100.txt,Washington,location,3
GDSC001790039100.txt,Tennessee,location,2
GDSC001790039100.txt,New Park Ave. Hartford,location,1
GDSC001790039100.txt,Mississip,location,1
GDSC001790039100.txt,Indianola,location,1
GDSC001790039100.txt,Ruleville,location,1
GDSC001790023200.txt,Madison,location,2
GDSC001790023200.txt,Carroll County,location,2
GDSC001790023200.txt,Tchula,location,2
GDSC001790023200.txt,Madison County,location,1
GDSC001790023200.txt,Greenville,location,13
GDSC001790023200.txt,Holmes County,location,2
GDSC001790023200.txt,Mississippi,location,18
GDSC001790023200.txt,Carrollton,location,2
GDSC001790023200.txt,Mount Beulah,location,1
GDSC001790023200.txt,Nelson Street,location,6
GDSC001790059700.txt,Mississippi,location,50
GDSC001790059700.txt,Paris,location,5
GDSC001790059700.txt,West,location,1
