doc,entity,type,count
GDSC001790044200.txt,October,organization,1
GDSC001790044200.txt,Du Boff Bryn Naur College,organization,1
GDSC001790044200.txt,Democratic Party Post Office,organization,1
GDSC001790044200.txt,Janssen Piece Kansas City,organization,1
GDSC001790044200.txt,Joseph Harris Office,organization,16
GDSC001790044200.txt,Everett W. MaeMair Tailadeg College Talladega,organization,1
GDSC001790062100.txt,Leadership for Action in Rural Committee,organization,1
GDSC001790062100.txt,Catholic,organization,1
GDSC001790062100.txt,VIII Housing,organization,1
GDSC001790062100.txt,County Court House,organization,1
GDSC001790062100.txt,Value Per Unit,organization,1
GDSC001790062100.txt,City Auditorium,organization,1
GDSC001790062100.txt,Local Programs,organization,2
GDSC001790062100.txt,Miss Mary Ann Veal The Community Service,organization,1
GDSC001790062100.txt,Abingdon Press,organization,2
GDSC001790062100.txt,New Directions Charts Course For National,organization,1
GDSC001790062100.txt,Neighborhood Service,organization,1
GDSC001790062100.txt,Progressive Community Improvement Club,organization,1
GDSC001790062100.txt,Jackson Central Business District,organization,1
GDSC001790062100.txt,Community Organization,organization,2
GDSC001790062100.txt,City Hall,organization,1
GDSC001790062100.txt,s Division of Christian Service,organization,1
GDSC001790062100.txt,WHITE BUSINESSES Grocery Stores,organization,1
GDSC001790062100.txt,Craft Clubs,organization,1
GDSC001790062100.txt,Washers,organization,1
GDSC001790062100.txt,Units Housing Units Rooms Per,organization,1
GDSC001790062100.txt,Woman,organization,1
GDSC001790062100.txt,Senior Citizens Club,organization,1
GDSC001790062100.txt,Kindergarten Parent Club,organization,1
GDSC001790062100.txt,Service Stations,organization,1
GDSC001790062100.txt,Youth Corporation,organization,3
GDSC001790062100.txt,Urban League,organization,3
GDSC001790062100.txt,National Federation of Settlements and Neighborhood Centers ,organization,1
GDSC001790062100.txt,Black Power Movement,organization,1
GDSC001790062100.txt,Jackson Public Schools,organization,1
GDSC001790062100.txt,Seat of County Government,organization,1
GDSC001790062100.txt,Seat of Mississippi State Government,organization,1
GDSC001790062100.txt,Galloway Memorial Methodist Church and Central Methodist Church,organization,1
GDSC001790062100.txt,Bloom,organization,1
GDSC001790062100.txt,National Federation of Settlements and Neighborhood Centers,organization,4
GDSC001790062100.txt,New Direction Charts Course For National,organization,1
GDSC001790062100.txt,Bethlehem Center,organization,4
GDSC001790062100.txt,Cleaners,organization,1
GDSC001790062100.txt,Mississippi Project National Federation of Settlements and Neighborhood Centers,organization,1
GDSC001790062100.txt,Interstate Highway System,organization,1
GDSC001790062100.txt,Lyle,organization,1
GDSC001790062100.txt,Community Organization Department,organization,1
GDSC001790062100.txt,National Urban League,organization,2
GDSC001790062100.txt,Jackson Zoning Department,organization,1
GDSC001790062100.txt,Incorporated,organization,1
GDSC001790062100.txt,Arthur Clementin Community Organiser Bethlehem,organization,1
GDSC001790062100.txt,Black Ghetto,organization,1
GDSC001790062100.txt,U.S. Printing Office,organization,2
GDSC001790062100.txt,N. Congress St.,organization,1
GDSC001790062100.txt,Sewage,organization,1
GDSC001790062100.txt,Community Centers,organization,1
GDSC001790062100.txt,Social Security,organization,1
GDSC001790062100.txt,Service Centers,organization,1
GDSC001790062100.txt,Hinds County Health,organization,1
GDSC001790062100.txt,Belhaven St.,organization,1
GDSC001790062100.txt,natal Care,organization,1
GDSC001790062100.txt,Vintage Books,organization,2
GDSC001790062100.txt,United States Commission on Civil Rights,organization,2
GDSC001790062100.txt,Interstate Printers and Publishers,organization,1
GDSC001790062100.txt,United Methodist Church,organization,1
GDSC001790062100.txt,Interstate Highways Nos.,organization,1
GDSC001790062100.txt,HISTORY Bethlehem Center,organization,1
GDSC001790062100.txt,Rural America,organization,1
GDSC001790019400.txt,The Supreme Court,organization,2
GDSC001790019400.txt,CRS,organization,1
GDSC001790019400.txt,Court,organization,1
GDSC001790019400.txt,Criminal Division,organization,1
GDSC001790019400.txt,Army,organization,1
GDSC001790019400.txt,Community Relations Service,organization,1
GDSC001790019400.txt,Hudson Narrow Fabric Mill,organization,1
GDSC001790019400.txt,U. S.,organization,2
GDSC001790019400.txt,Department,organization,5
GDSC001790019400.txt,Federal Bureau of Investigation,organization,5
GDSC001790019400.txt,Naturalization Service,organization,1
GDSC001790019400.txt,Chew Restaurant,organization,1
GDSC001790019400.txt,Racketeering Section,organization,1
GDSC001790019400.txt,National Crime Information Center,organization,1
GDSC001790019400.txt,Southern Weaving Company,organization,1
GDSC001790019400.txt,La Cosa Nostra,organization,1
GDSC001790019400.txt,Natural Resources Division,organization,1
GDSC001790019400.txt,Federal Prison Industries,organization,1
GDSC001790019400.txt,Customs Bureau,organization,1
GDSC001790019400.txt,Cosa Nostra,organization,1
GDSC001790019400.txt,Department of Justice,organization,5
GDSC001790019400.txt,Crime Control,organization,1
GDSC001790019400.txt,Equal Employment Opportunity,organization,1
GDSC001790019400.txt,National Auto Theft Campaign,organization,1
GDSC001790019400.txt,Organized Crime and Racketeering Section,organization,1
GDSC001790019400.txt,Fifth Circuit Court of Appeals,organization,1
GDSC001790019400.txt,District Court,organization,2
GDSC001790019400.txt,Incorporated,organization,1
GDSC001790019400.txt,FBI National Academy,organization,1
GDSC001790019400.txt,Civil Rights Division,organization,2
GDSC001790019400.txt,Antitrust Division,organization,1
GDSC001790019400.txt,Air Force,organization,1
GDSC001790019400.txt,Border Patrol,organization,1
GDSC001790019400.txt,Equal Employment Opportunity Commission,organization,1
GDSC001790019400.txt,US Treasury,organization,1
GDSC001790019400.txt,Immigration and Naturalization Service,organization,1
GDSC001790039100.txt,Public Service Commission,organization,1
GDSC001790039100.txt,New World Foundation,organization,2
GDSC001790039100.txt,Mississippi,organization,1
GDSC001790039100.txt,Mississippi Council,organization,2
GDSC001790039100.txt,Southern Coalition,organization,1
GDSC001790039100.txt,Annual Meeting Committee,organization,1
GDSC001790039100.txt,College Board,organization,1
GDSC001790039100.txt,Yale,organization,1
GDSC001790039100.txt,Mississippi Mental Health Project,organization,1
GDSC001790039100.txt,Mew York Foundation,organization,1
GDSC001790039100.txt,Shriver for President Committee,organization,1
GDSC001790039100.txt,State,organization,2
GDSC001790039100.txt,Kentucky Fried Chie,organization,1
GDSC001790039100.txt,AGEE,organization,1
GDSC001790039100.txt,Human Relations Council,organization,1
GDSC001790039100.txt,Annuel Meeting,organization,1
GDSC001790039100.txt,PEER Committee,organization,1
GDSC001790039100.txt,baseball association,organization,1
GDSC001790039100.txt,Kentucky Fried Chicken.enjoys,organization,1
GDSC001790039100.txt,Foundation,organization,1
GDSC001790039100.txt,Jackson Independent Youth Baseball Association,organization,3
GDSC001790039100.txt,I Executive Committee Mississippi Council of Human Relations Jackson,organization,1
GDSC001790039100.txt,Tougaloo College,organization,3
GDSC001790039100.txt,fen,organization,1
GDSC001790039100.txt,Unifirst Federal,organization,2
GDSC001790039100.txt,Freedom Farm Cooperative,organization,1
GDSC001790039100.txt,Mississippi Hunger Coalition,organization,1
GDSC001790039100.txt,White Citizens Council School Foundation The Servian Club,organization,1
GDSC001790039100.txt,Civil Rights Division,organization,1
GDSC001790039100.txt,Choctaw Legal Defense Association,organization,1
GDSC001790039100.txt,Tombigbee Council,organization,1
GDSC001790039100.txt,MCHR Executive Committee TOUGALOO,organization,1
GDSC001790039100.txt,NABtM Board of Directors Mississippi Council,organization,1
GDSC001790039100.txt,Kentucky Fried Chicken,organization,11
GDSC001790039100.txt,Savings,organization,2
GDSC001790039100.txt,SPWashington D.C.,organization,1
