Source,Target,Type,Id
GDSC001790044200.txt,Joseph Harris,person,3
GDSC001790044200.txt,C. Zaugg,person,1
GDSC001790044200.txt,Fisch,person,1
GDSC001790044200.txt,Sandy Spring,person,1
GDSC001790044200.txt,Marie Kaplan,person,1
GDSC001790044200.txt,Goldner,person,1
GDSC001790044200.txt,Montgomery,person,1
GDSC001790044200.txt,Thompson,person,1
GDSC001790044200.txt,Dear Msz,person,1
GDSC001790044200.txt,Albert K.,person,1
GDSC001790044200.txt,Weber,person,1
GDSC001790044200.txt,Kaplan,person,1
GDSC001790044200.txt,K.V. Washington,person,1
GDSC001790044200.txt,Samuel Perlman,person,1
GDSC001790044200.txt,Tobias Wolman,person,1
GDSC001790044200.txt,Ana N. Brenneman,person,1
GDSC001790044200.txt,Thia,person,2
GDSC001790044200.txt,Roscoe A. Thompson,person,1
GDSC001790044200.txt,Westheimer,person,1
GDSC001790044200.txt,Joseph Harris,person,7
GDSC001790044200.txt,Halter,person,1
GDSC001790044200.txt,E. Bcyson,person,1
GDSC001790044200.txt,Joseph Harris Offloe,person,1
GDSC001790044200.txt,Myrtle Moore,person,1
GDSC001790044200.txt,Watson,person,1
GDSC001790044200.txt,Joseph Barrie,person,1
GDSC001790044200.txt,Husband,person,1
GDSC001790044200.txt,Perloe,person,1
GDSC001790044200.txt,Du Boff,person,1
GDSC001790044200.txt,Joseph Karris,person,1
GDSC001790044200.txt,Zaugg,person,1
GDSC001790044200.txt,Thonae I. Eneraon,person,1
GDSC001790044200.txt,Judy Perloe,person,1
GDSC001790044200.txt,Wortman,person,1
GDSC001790044200.txt,Abe Harshman,person,1
GDSC001790044200.txt,Jonathan F. Husband,person,1
GDSC001790044200.txt,Janet Toy,person,1
GDSC001790044200.txt,Jean Fisch,person,1
GDSC001790044200.txt,N. I.,person,1
GDSC001790044200.txt,Barbara R. Allen,person,1
GDSC001790044200.txt,Bov,person,1
GDSC001790044200.txt,Joseph Harrie,person,1
GDSC001790044200.txt,Bonk,person,1
GDSC001790044200.txt,Lashof,person,1
GDSC001790044200.txt,Robert Halter,person,1
GDSC001790044200.txt,Pulliam,person,1
GDSC001790044200.txt,Harshman,person,1
GDSC001790044200.txt,Lester Goldner,person,1
GDSC001790044200.txt,William C. Searcy,person,1
GDSC001790044200.txt,Searcy,person,1
GDSC001790044200.txt,David Brenner,person,1
GDSC001790044200.txt,George N. Weber,person,1
GDSC001790044200.txt,Hnerson,person,1
GDSC001790044200.txt,Richard B.,person,1
GDSC001790044200.txt,P. O. Rex,person,1
GDSC001790044200.txt,Arthur N. Watson,person,1
GDSC001790044200.txt,Moore,person,1
GDSC001790044200.txt,Perlman,person,1
GDSC001790044200.txt,Brenner,person,1
GDSC001790044200.txt,David Westheimer,person,1
GDSC001790044200.txt,Derr,person,1
GDSC001790044200.txt,Theodore Wm. Lashof,person,1
GDSC001790044200.txt,Brenneman,person,1
GDSC001790044200.txt,Bodenhorn,person,1
GDSC001790044200.txt,Ethel Sanjines,person,1
GDSC001790044200.txt,Benjamin Bock,person,1
GDSC001790044200.txt,Wolman,person,1
GDSC001790044200.txt,Allen,person,1
GDSC001790044200.txt,Boger Montgoeery,person,1
GDSC001790044200.txt,Sanjines,person,1
GDSC001790062100.txt,Jackson,person,1
GDSC001790062100.txt,Lucille Penquite,person,1
GDSC001790062100.txt,Mary Ann Veal,person,1
GDSC001790062100.txt,Wendell Taylor,person,1
GDSC001790062100.txt,R. E. Jordan,person,1
GDSC001790062100.txt,Kenyatla,person,1
GDSC001790062100.txt,Jules,person,1
GDSC001790062100.txt,Alfred Rhodes,person,1
GDSC001790062100.txt,Jack Shaford,person,1
GDSC001790062100.txt,Henry C. Clay,person,1
GDSC001790062100.txt,Sandra Faye Anthony,person,1
GDSC001790062100.txt,Gwendelyn Hampton,person,1
GDSC001790062100.txt,Charles Hamilton,person,2
GDSC001790062100.txt,C. C. Clark,person,1
GDSC001790062100.txt,H. M. Thompson,person,1
GDSC001790062100.txt,Lillian Rhodes,person,1
GDSC001790062100.txt,Lyle E.,person,1
GDSC001790062100.txt,Alfred H. Rhodes,person,2
GDSC001790062100.txt,Lamar,person,1
GDSC001790062100.txt,Harrison Clayborne,person,1
GDSC001790062100.txt,F. O. Woodard,person,1
GDSC001790062100.txt,Lamar Court,person,1
GDSC001790062100.txt,Blair,person,1
GDSC001790062100.txt,Reddoch,person,1
GDSC001790062100.txt,Andrew P. Torrence,person,1
GDSC001790062100.txt,Rosa Robinson,person,1
GDSC001790062100.txt,Anthony,person,1
GDSC001790062100.txt,Barbara Hardy,person,1
GDSC001790062100.txt,N. Blair,person,1
GDSC001790062100.txt,Bob Travis P. O. Box,person,1
GDSC001790062100.txt,Jesse Montgomery,person,1
GDSC001790062100.txt,Lamar Lane,person,1
GDSC001790062100.txt,Carmichael,person,1
GDSC001790062100.txt,N. Farish St.,person,2
GDSC001790062100.txt,Jim Hendrick,person,1
GDSC001790062100.txt,C. Giles,person,1
GDSC001790062100.txt,Julian Bond,person,1
GDSC001790062100.txt,Eva Harvey,person,1
GDSC001790062100.txt,Odessa Patton,person,1
GDSC001790062100.txt,Hickman Johnson,person,1
GDSC001790062100.txt,Bober Kates,person,1
GDSC001790062100.txt,Michael,person,1
